Gu,firearmRegRequired,permitReqToCarry,permitReqToPurchase,openCarryLegal
Washington,TRUE,TRUE,FALSE,TRUE
New York,TRUE,TRUE,TRUE,FALSE
New Jersey,TRUE,TRUE,TRUE,FALSE
Michigan,TRUE,TRUE,FALSE,TRUE
Maryland,TRUE,TRUE,TRUE,TRUE
Hawaii,TRUE,TRUE,TRUE,TRUE
Connecticut,TRUE,TRUE,TRUE,TRUE
California,TRUE,TRUE,TRUE,
Wyoming,FALSE,FALSE,FALSE,TRUE
Wisconsin,FALSE,TRUE,FALSE,TRUE
West Virginia,FALSE,FALSE,FALSE,TRUE
Virginia,FALSE,TRUE,FALSE,TRUE
Vermont,FALSE,FALSE,FALSE,TRUE
Utah,FALSE,TRUE,FALSE,TRUE
Texas,FALSE,TRUE,FALSE,TRUE
Tennessee,FALSE,TRUE,FALSE,TRUE
South Dakota,FALSE,TRUE,FALSE,TRUE
South Carolina,FALSE,TRUE,FALSE,FALSE
Rhode Island,FALSE,TRUE,TRUE,TRUE
Pennsylvania,FALSE,TRUE,FALSE,TRUE
Oregon,FALSE,TRUE,FALSE,TRUE
Oklahoma,FALSE,TRUE,FALSE,TRUE
Ohio,FALSE,TRUE,FALSE,TRUE
North Dakota,FALSE,TRUE,TRUE,TRUE
North Carolina,FALSE,TRUE,TRUE,TRUE
New Mexico,FALSE,TRUE,FALSE,TRUE
New Hampshire,FALSE,FALSE,FALSE,TRUE
Nevada,FALSE,TRUE,FALSE,TRUE
Nebraska,FALSE,TRUE,TRUE,TRUE
Montana,FALSE,FALSE,FALSE,TRUE
Missouri,FALSE,FALSE,FALSE,TRUE
Mississippi,FALSE,FALSE,FALSE,TRUE
Minnesota,FALSE,TRUE,TRUE,TRUE
Massachusetts,FALSE,TRUE,TRUE,TRUE
Maine,FALSE,FALSE,FALSE,TRUE
Louisiana,FALSE,TRUE,FALSE,TRUE
Kentucky,FALSE,TRUE,FALSE,TRUE
Kansas,FALSE,FALSE,FALSE,TRUE
Iowa,FALSE,TRUE,TRUE,TRUE
Indiana,FALSE,TRUE,FALSE,TRUE
Illinois,FALSE,TRUE,TRUE,FALSE
Idaho,FALSE,FALSE,FALSE,TRUE
Georgia,FALSE,TRUE,FALSE,TRUE
Florida,FALSE,TRUE,FALSE,FALSE
Delaware,FALSE,TRUE,FALSE,TRUE
Colorado,FALSE,TRUE,FALSE,
Arkansas,FALSE,FALSE,FALSE,TRUE
Arizona,FALSE,FALSE,FALSE,TRUE
Alaska,FALSE,FALSE,FALSE,TRUE
Alabama,FALSE,TRUE,FALSE,TRUE